#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 02 04 50 200  5.0  6.0   1.0    12   5.5  29 1017.6  25.4  25.7    MM   MM -0.9    MM
2017 06 02 03 50 200  5.0  5.0   1.0     8   5.7 121 1018.1  25.4  25.7    MM   MM +0.0    MM
2017 06 02 02 50 190  5.0  6.0   1.0    12   5.7  22 1018.6  25.4  25.7    MM   MM +0.7    MM
2017 06 02 01 50 210  4.0  5.0   1.0    12   5.8  25 1018.5  25.5  25.8    MM   MM +0.6    MM
2017 06 02 00 50 190  3.0  4.0   1.0    11   5.4  71 1018.2  25.4  25.8    MM   MM +0.3    MM
2017 06 01 23 50 200  3.0  4.0   1.0     5   5.2 168 1017.9  25.4  25.8    MM   MM +0.0    MM
2017 06 01 22 50 200  4.0  4.0   1.0     8   5.4 104 1017.9  25.5  25.8    MM   MM -0.7    MM
2017 06 01 21 50 220  4.0  4.0   1.1    11   5.4  31 1017.9  25.6  25.8    MM   MM -0.8    MM
2017 06 01 20 50 220  5.0  6.0   1.1    11   5.3  24 1018.1  25.6  25.8    MM   MM -0.8    MM
2017 06 01 19 50 240  1.0  2.0   0.9    11   5.5  15 1018.6  24.5  25.7    MM   MM -1.1    MM
2017 06 01 18 50 130  1.0  2.0   1.1    10   5.6   9 1018.7  23.1  25.8    MM   MM -1.2    MM
2017 06 01 17 50 200  9.0 12.0   1.2    11   5.4  59 1018.9  24.5  25.8    MM   MM -1.2    MM
2017 06 01 16 50 200  6.0  8.0   1.1    11   5.3  40 1019.7  25.5  25.8    MM   MM +0.0    MM
2017 06 01 15 50 200  7.0  8.0   1.1    12   5.3  67 1019.9  25.5  25.7    MM   MM -0.3    MM
2017 06 01 14 50 200  6.0  7.0   1.1    10   5.3  18 1020.1  25.3  25.5    MM   MM +0.0    MM
2017 06 01 13 50 190  7.0  8.0   1.0    11   5.1  87 1019.9  25.2  25.4    MM   MM +0.0    MM
2017 06 01 12 50 190  6.0  7.0   1.0    11   5.1  46 1020.2  25.2  25.3    MM   MM +0.7    MM
2017 06 01 11 50 200  6.0  8.0   1.1    13   5.1  80 1020.3  25.2  25.4    MM   MM +1.2    MM
2017 06 01 10 50 210  6.0  7.0   1.0    10   5.0  39 1020.1  25.2  25.4    MM   MM +0.6    MM
2017 06 01 09 50 200  6.0  7.0   1.0    11   5.0  19 1019.5  25.2  25.4    MM   MM -0.4    MM
2017 06 01 08 50 200  6.0  7.0   0.9    10   4.9  18 1019.1  25.3  25.6    MM   MM -0.9    MM
2017 06 01 07 50 210  6.0  8.0   0.9    12   4.6  73 1019.5  25.3  25.7    MM   MM -0.4    MM
2017 06 01 06 50 200  6.0  7.0   0.9    12   4.9  78 1019.9  25.4  25.7    MM   MM -0.3    MM
2017 06 01 05 50 200  7.0  8.0   0.9     8   4.7  31 1020.0  25.4  25.7    MM   MM -0.6    MM
2017 06 01 04 50 200  7.0  9.0   0.9    13   4.7 131 1019.9  25.5  25.8    MM   MM +0.0    MM
2017 06 01 03 50 200  7.0  8.0   0.8    13   4.7 112 1020.2  25.5  25.8    MM   MM +0.0    MM
2017 06 01 02 50 200  6.0  7.0   0.8    12   5.1  99 1020.6  25.5  25.8    MM   MM +0.9    MM
2017 06 01 01 50 200  6.0  7.0   0.8     9   5.2  25 1020.0  25.6  25.8    MM   MM +0.0    MM
2017 06 01 00 50 180  6.0  7.0   0.8     9   5.7  12 1020.0  25.5  25.8    MM   MM +0.3    MM
2017 05 31 23 50 190  5.0  6.0   1.0     9   5.8  23 1019.7  25.6  25.9    MM   MM -0.4    MM
